source_and_target,lat,long,city,country
192.168.100.1-20.248.131.216,-34.58881517251069,-58.420968605233796,Buenos Aires,Argentina
100.65.192.3-20.248.131.216,-34.58881517251069,-58.420968605233796,Buenos Aires,Argentina
10.2.186.125-20.248.131.216,-34.58881517251069,-58.420968605233796,Buenos Aires,Argentina
10.0.1.96-20.248.131.216,-34.58881517251069,-58.420968605233796,Buenos Aires,Argentina
170.51.254.172-20.248.131.216,-34.6142,-58.3811,Buenos Aires,Argentina
104.44.196.39-20.248.131.216,37.751,-97.822,,United States
104.44.231.100-20.248.131.216,37.751,-97.822,,United States
104.44.34.20-20.248.131.216,37.751,-97.822,,United States
104.44.28.27-20.248.131.216,37.751,-97.822,,United States
104.44.28.203-20.248.131.216,37.751,-97.822,,United States
104.44.17.175-20.248.131.216,37.751,-97.822,,United States
104.44.29.145-20.248.131.216,37.751,-97.822,,United States
104.44.29.9-20.248.131.216,37.751,-97.822,,United States
104.44.7.145-20.248.131.216,37.751,-97.822,,United States
104.44.18.56-20.248.131.216,37.751,-97.822,,United States
104.44.16.49-20.248.131.216,37.751,-97.822,,United States
104.44.7.43-20.248.131.216,37.751,-97.822,,United States
104.44.17.68-20.248.131.216,37.751,-97.822,,United States
104.44.17.20-20.248.131.216,37.751,-97.822,,United States
104.44.7.197-20.248.131.216,37.751,-97.822,,United States
104.44.7.244-20.248.131.216,37.751,-97.822,,United States
104.44.11.98-20.248.131.216,37.751,-97.822,,United States
20.248.131.216-20.248.131.216,-33.8715,151.2006,Sydney,Australia
